2024-03-24 19:12:19 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:12:19 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:19 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:12:20 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:20 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:12:20 INFO  TestBase:106 - Clicked on [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:12:20 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:20 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: div#shopping_cart_container>a]
2024-03-24 19:12:20 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:20 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: div#shopping_cart_container>a]
2024-03-24 19:12:20 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:20 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: div#shopping_cart_container>a]
2024-03-24 19:12:20 INFO  TestBase:106 - Clicked on [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: div#shopping_cart_container>a]
2024-03-24 19:12:20 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:20 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: a#item_1_title_link>div]
2024-03-24 19:12:20 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:20 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: a#item_1_title_link>div]
2024-03-24 19:12:20 INFO  TestBase:166 - Getting text
2024-03-24 19:12:21 INFO  TestBase:172 - Text retrieved
2024-03-24 19:12:21 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:21 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:22 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:22 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:23 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:23 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:24 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:24 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:25 INFO  TestBase:88 - Finding element: null
